Year,Driver,AvgLapTime,StdLapTime,TotalLaps,ConsistencyIndex,NormAvgLapTime,NormConsistency,OPI,SES,RaceIntelligenceIndex
2024,LAW,91.65310542168675,8.420762113128,332,0.10614852471505275,0.44306781282727775,0.18378925341656502,0.4076750136702593,0.458825908647559,0.4230202821634492
2023,ALB,91.02367105263158,11.256280174765662,1140,0.08159082411145353,0.36483757790345295,0.025517750012955507,0.3913045532631104,0.5750163572074267,0.44641809444640534
2023,ZHO,91.105358245329,11.171320757160306,1231,0.08216035218788452,0.3749901983975947,0.029188291744133996,0.38668119765909675,0.5739760530292364,0.4428696542701386
2024,HUL,91.34102130898022,10.678552240749607,1314,0.08562705199971031,0.40427995081447815,0.051530765900133065,0.3780443358713664,0.5099538127150256,0.41761717892446415
2023,HUL,91.4373526058632,10.676735001260475,1228,0.08564037805876835,0.4162526366990835,0.05161665078958614,0.37089507829638435,0.5727565422071933,0.431453517469627
2023,MAG,91.53174038461539,11.071003067091235,1144,0.08284315681488524,0.4279837693933564,0.03358888757314686,0.3566452933932449,0.5162408855281492,0.4045239710337162
2024,OCO,91.55735303514376,11.014872545019328,1252,0.08323017961722301,0.43116707771963064,0.03608320419367357,0.3557330350456911,0.5671681968685632,0.4191635835925527
2023,SAR,91.63160796460177,11.069048758553993,1130,0.08285657138399126,0.440395967753824,0.03367534289948998,0.34923255650750157,0.5851205261139079,0.41999894738942345
2023,RIC,91.69713784461153,11.881378556825767,399,0.07763144259665483,0.44854045137232895,0.0,0.3308757291766026,0.5118273518460965,0.38516121597745073
2023,LAW,92.61084727272727,9.645928151484249,275,0.09393262717638956,0.562102256586279,0.1050592248981251,0.30476233600748265,0.44776022421274575,0.3476617024690616
2024,COL,95.5254671201814,8.860642091931192,441,0.10141327417392872,0.9243503424705076,0.15327111842364088,0.10669824188715178,0.4759422991886894,0.21747145907761306
2024,BEA,96.13413836477987,10.315327163969233,159,0.08837570363712013,1.0,0.06924550369288418,0.027698201477153673,0.4327681488108202,0.14921918567725362
